股票代码,涨停原因类别[20260227],code,market_code
000035.SZ,绿色甲醇+机器人+氢能,000035,33
000510.SZ,钽铌锡矿复产+有色金属+氯碱龙头,000510,33
000593.SZ,控制权变更+氢能中心+天然气,000593,33
000628.SZ,华鲲振宇并购预期+成都国资+功率半导体,000628,33
000638.SZ,,000638,33
000657.SZ,钨矿增储+PCB钻针扩产+钨价上涨+央企,000657,33
000697.SZ,重整完成+航空发动机+四川国资,000697,33
000731.SZ,化肥+尿素+AI智能体+国企改革,000731,33
000899.SZ,火电+新能源+江西国资,000899,33
000960.SZ,铟资源+锡全产业链+云南国资,000960,33
000972.SZ,重整延期+债务豁免+番茄制品+兵团国资,000972,33
000993.SZ,绿色电力+福建国资,000993,33
001209.SZ,家居服龙头+IP经济+跨境电商,001209,33
001216.SZ,定增注册+越南基地+日用陶瓷+陶瓷新材料,001216,33
001896.SZ,参股算力+火电+绿电储备+河南国资,001896,33
002015.SZ,绿色电力+钙钛矿电池+虚拟电厂,002015,33
002046.SZ,金刚石散热+商业航天+风电轴承+央企,002046,33
002047.SZ,扭亏为盈+光耦合器+珠海国资,002047,33
002155.SZ,重组复牌+钨锑涨价+湖南国资,002155,33
002167.SZ,锆产品+小金属+固态电池,002167,33
002177.SZ,智能金融设备+产业园+广州资产+资产出售,002177,33
002182.SZ,小金属+人形机器人+商业航天+央企,002182,33
002216.SZ,预制菜+速冻龙头+防御属性,002216,33
002261.SZ,华为昇腾+国产算力+AI鸿蒙,002261,33
002350.SZ,配电设备+中标5.88亿+储能,002350,33
002356.SZ,绿氢绿醇+年报扭亏+共享单车,002356,33
002378.SZ,钨价上调+钨产业链+业绩预增,002378,33
002394.SZ,业绩预增+一带一路+棉纺全产业链,002394,33
002470.SZ,化肥涨价+磷矿建设+缓控释肥,002470,33
002485.SZ,文旅复苏+ST摘帽预期+供应链物流,002485,33
002581.SZ,创新药+眼科III期+ST摘帽预期,002581,33
002620.SZ,预重整+光伏+建筑装饰,002620,33
002628.SZ,机器人+基建订单+萤石矿,002628,33
002633.SZ,燃气轮机+厚壁滑动轴承+股权转让+国企改革,002633,33
002650.SZ,减盐酱油+ST板块+回购注销,002650,33
002655.SZ,智能音箱+端侧AI+股权转让,002655,33
002734.SZ,拜耳大单+农兽药+出海,002734,33
002756.SZ,碳酸锂涨价+技改达产+双主业,002756,33
002842.SZ,钨价上涨+光伏钨丝+年报预增,002842,33
002843.SZ,数据中心电源+商业航天+锯切龙头,002843,33
002865.SZ,太空光伏+TOPCon电池+外销,002865,33
002973.SZ,环卫管理+人形机器人+AI装备,002973,33
002980.SZ,电网设备+AI眼镜+仪器仪表,002980,33
003018.SZ,液冷收购+瓶盖龙头+业绩承诺,003018,33
003035.SZ,扭亏为盈+虚拟电厂+零碳园区+央企,003035,33
300317.SZ,电站收购+光伏照明+国资背景,300317,33
300830.SZ,低代码平台+AI智能体+业务转型,300830,33
301226.SZ,人形机器人+商业航天+无框电机,301226,33
600108.SH,玉米种子+土地流转+啤酒概念+甘肃国资,600108,17
600126.SH,算力租赁+国资云+钢铁智造,600126,17
600230.SH,TDI涨价+特种PC+央企改革,600230,17
600243.SH,数控机床+退市风险+ST板块,600243,22
600259.SH,稀土涨价+扭亏为盈+央企,600259,17
600301.SH,小金属+锡锑锌铟+国企改革,600301,17
600397.SH,定增收购钨钽资产+磁选设备+江西国资,600397,17
600452.SH,电力+配电网节能+央企背景,600452,17
600456.SH,商业航天+军工钛材+可转债+陕西国资,600456,17
600459.SH,定增获批+铂族金属+云南国资,600459,17
600498.SH,光纤涨价+商业航天+华为算力+央企,600498,17
600525.SH,电网设备+储能中标+新能源合同,600525,22
600549.SH,钨钼+稀土+福建国资,600549,17
600725.SH,重组红河发电+煤炭贸易+云南国资,600725,17
600744.SH,电力+年报预增+央企,600744,17
600753.SH,液化石油气+ST板块+年报预盈,600753,22
600777.SH,美国页岩油+诉讼撤诉+ST板块,600777,22
600821.SH,绿电+算力+回购注销+天津国资,600821,17
601958.SH,钼价高位+有色金属+陕西国资,601958,17
603021.SH,ST板块+退市博弈+日用玻璃,603021,22
603093.SH,境外增资+H股上市+期货经纪,603093,17
603117.SH,木材物流+股权转让完成,603117,17
603217.SH,化工+调价+光稳定剂,603217,17
603226.SH,控制权转让+智能家居+木地板,603226,17
603232.SH,软件开发+网络安全+抗量子密码,603232,17
603257.SH,铜冶炼+AI智能体+海外订单+有色金属,603257,17
603268.SH,VLCC订单+船舶制造+业绩预增,603268,22
603318.SH,氢能源+燃气运营+山东国资,603318,17
603353.SH,拟收购奎芯+成品油+超快充,603353,17
603381.SH,人形机器人+越南满产+光伏边框,603381,17
603530.SH,特高压+越南建厂+电网设备,603530,17
603559.SH,ST摘帽预期+通信工程+重整完成,603559,22
603578.SH,光伏玻璃+低温储藏设备+定增推进,603578,17
603580.SH,退市博弈+轻型输送带+两岸融合,603580,22
603618.SH,特高压+超薄铜箔+光通信,603618,17
603629.SH,算力租赁+年报预增+英伟达合作,603629,17
603738.SH,石英晶振+AI算力+人形机器人,603738,17
603838.SH,锆钛矿+陶瓷+ST板块,603838,22
603897.SH,电磁线+机器人+新能源,603897,17
603950.SH,玉柴合作+柴油发动机+新能源汽车+业绩预增,603950,17
605398.SH,AI应用+智能运维+信创生态+短剧,605398,17
688028.SH,金刚石热沉片+PCB微钻+超硬刀具,688028,17
688118.SH,低代码+AI智能体+业绩扭亏,688118,17
688343.SH,AI推理芯片+端侧AI+人形机器人,688343,17
