code,所属概念数量,股票代码,market_code,所属概念
920981,7,920981.BJ,151,共封装光学(CPO);融资融券;芯片概念;消费电子概念;汽车电子;专精特新;华为海思概念股
688820,7,688820.SH,17,芯片概念;存储芯片;先进封装;科创次新股;注册制次新股;新股与次新股;融资融券
300067,25,300067.SZ,33,染料;算力租赁;百度概念;区块链;多模态AI;AIGC概念;东数西算(算力);Sora概念(文生视频);DeepSeek概念;人工智能;独角兽概念;英伟达概念;军工;IP经济(谷子经济);芯片概念;C2M概念;海工装备;柔性屏(折叠屏);长三角一体化;污水处理;PPP概念;宠物经济;AI应用;深股通;融资融券
301003,2,301003.SZ,33,新能源汽车;融资融券
688048,14,688048.SH,17,共封装光学(CPO);光纤概念;第三代半导体;芯片概念;数据中心;汽车芯片;商业航天;可控核聚变;华为概念;专精特新;无人驾驶;医美概念;沪股通;融资融券
300857,40,300857.SZ,33,算力租赁;英伟达概念;EDR概念;云游戏;存储芯片;东数西算(算力);云计算;共封装光学(CPO);智能音箱;数据中心;AI眼镜;芯片概念;腾讯概念;智能穿戴;汽车电子;AI智能体;消费电子概念;人脸识别;AIGC概念;安防;车联网(车路协同);小米概念;物联网;短剧游戏;DeepSeek概念;人工智能;人形机器人;AI应用;机器人概念;2025年报预增;网络游戏;粤港澳大湾区;智能家居;家用电器;人民币贬值受益;净水概念;跨境电商;2026一季报预增;融资融券;深股通
300890,12,300890.SZ,33,钠离子电池;固态电池;石墨电极;锂电池概念;宁德时代概念;石墨烯;硅能源;比亚迪概念;特斯拉概念;储能;新能源汽车;融资融券
688401,10,688401.SH,17,先进封装;OLED;第三代半导体;PCB概念;MiniLED;芯片概念;消费电子概念;专精特新;沪股通;融资融券
688628,8,688628.SH,17,芯片概念;PM2.5;人民币贬值受益;光伏概念;核污染防治;AI智能体;DeepSeek概念;融资融券
301396,31,301396.SZ,33,算力租赁;财税数字化;云计算;东数西算(算力);多模态AI;ChatGPT概念;信创;智慧政务;腾讯概念;AI智能体;空间计算;数据中心;数据要素;MR(混合现实);DeepSeek概念;华为概念;安防;智慧城市;AI应用;人工智能;数字经济;物联网;智能医疗;职业教育;专精特新;智能物流;乡村振兴;旅游概念;新型城镇化;深股通;融资融券
301607,11,301607.SZ,33,第三代半导体;小米汽车;高压快充;小米概念;比亚迪概念;专精特新;新能源汽车;2025年报预增;充电桩;深股通;融资融券
688268,14,688268.SH,17,俄乌冲突概念;氟化工概念;光刻机;光刻胶;中芯国际概念;氢能源;存储芯片;第三代半导体;芯片概念;核电;粤港澳大湾区;专精特新;沪股通;融资融券
300698,24,300698.SZ,33,车联网(车路协同);无人驾驶;英伟达概念;华为昇腾;百度概念;5G;东数西算(算力);卫星导航;物联网;云计算;数据要素;阿里巴巴概念;人工智能;算力租赁;数据中心;DeepSeek概念;液冷服务器;比亚迪概念;网约车;智能医疗;智能物流;光纤概念;一带一路;深股通
688661,8,688661.SH,17,芯片概念;消费电子概念;专精特新;传感器;英伟达概念;机器人概念;沪股通;融资融券
300382,13,300382.SZ,33,减速器;人形机器人;机器人概念;专精特新;新能源汽车;工业互联网;C2M概念;宁德时代概念;储能;锂电池概念;绿色电力;融资融券;深股通
688143,12,688143.SH,17,光纤概念;共封装光学(CPO);商业航天;特高压;汽车热管理;军工;海工装备;芯片概念;专精特新;DeepSeek概念;沪股通;融资融券
301345,11,301345.SZ,33,人形机器人;两轮车;跨境电商;人民币贬值受益;机器人概念;专精特新;无人驾驶;2025年报预增;2026一季报预增;深股通;融资融券
300903,28,300903.SZ,33,共封装光学(CPO);先进封装;存储芯片;MiniLED;PCB概念;芯片概念;汽车电子;消费电子概念;毫米波雷达;5G;数据中心;小米概念;专精特新;血氧仪;比亚迪概念;新能源汽车;充电桩;储能;无人机;军工;机器人概念;低空经济;工业互联网;锂电池概念;粤港澳大湾区;钠离子电池;深股通;融资融券
300321,2,300321.SZ,33,国企改革;证金持股
688530,10,688530.SH,17,MicroLED概念;PET铜箔;芯片概念;MiniLED;钙钛矿电池;专精特新;HJT电池;光伏概念;小金属概念;融资融券
301629,8,301629.SZ,33,存储芯片;芯片概念;专精特新;比亚迪概念;机器视觉;华为概念;深股通;融资融券
920045,9,920045.BJ,151,2025年报预增;粤港澳大湾区;无人驾驶;数据中心;光纤概念;新股与次新股;融资融券;共封装光学(CPO);人民币贬值受益
300489,11,300489.SZ,33,先进封装;核污染防治;新能源汽车;第三代半导体;无人驾驶;无人机;军工;核电;低空经济;氢能源;深股通
300044,25,300044.SZ,33,手机游戏;网络游戏;时空大数据;人脸识别;数据要素;人工智能;车联网(车路协同);抖音概念(字节概念);智慧城市;军民融合;安防;机器视觉;军工;新型工业化;无人驾驶;低空经济;无人机;养老概念;机器人概念;PPP概念;5G;数据中心;粤港澳大湾区;乡村振兴;ST板块
920003,3,920003.BJ,151,数字经济;融资融券;新股与次新股
301235,10,301235.SZ,33,芯片概念;专精特新;2025年报预增;医疗废物处理;医疗器械概念;回购增持再贷款概念;人工智能;辅助生殖;智能医疗;融资融券
920719,12,920719.BJ,151,锂电池概念;钠离子电池;融资融券;第三代半导体;石墨电极;石墨烯;燃料电池;氢能源;宁德时代概念;固态电池;光伏概念;专精特新
300616,13,300616.SZ,33,IP经济(谷子经济);养老概念;AIGC概念;人工智能;空间计算;AI智能体;小红书概念;智能物流;智能家居;虚拟现实;海峡两岸;机器人概念;MR(混合现实)
688069,10,688069.SH,17,水利;专精特新;数字孪生;储能;光伏概念;人工智能;碳交易;碳中和;氢能源;融资融券
